InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,TOP,CustomerID,Country
537435,M,Manual,2,12/6/2010,5.95,11.9,17920,United Kingdom
578017,M,Manual,1,11/22/2011,1.5,1.5,13569,United Kingdom
541564,M,Manual,10,1/19/2011,0.38,3.8,16904,United Kingdom
572682,M,Manual,72,10/25/2011,0.39,28.08,17928,United Kingdom
571289,M,Manual,1,10/16/2011,0.39,0.39,15113,United Kingdom
537377,M,Manual,12,12/6/2010,0.19,2.28,15882,United Kingdom
543134,M,Manual,1,2/3/2011,15,15,15885,United Kingdom
544407,M,Manual,1,2/18/2011,15,15,14606,United Kingdom
572344,M,Manual,456,10/24/2011,1.5,684,14607,United Kingdom
572344,M,Manual,48,10/24/2011,1.5,72,14607,United Kingdom
572344,M,Manual,48,10/24/2011,1.5,72,14607,United Kingdom
572344,M,Manual,48,10/24/2011,1.5,72,14607,United Kingdom
572344,M,Manual,48,10/24/2011,1.5,72,14607,United Kingdom
572344,M,Manual,48,10/24/2011,1.5,72,14607,United Kingdom
572344,M,Manual,48,10/24/2011,1.5,72,14607,United Kingdom
572656,M,Manual,288,10/25/2011,1.5,432,14607,United Kingdom
550469,M,Manual,18,4/18/2011,0.1,1.8,16399,United Kingdom
567460,M,Manual,3,9/20/2011,0.19,0.57,15888,United Kingdom
567460,M,Manual,6,9/20/2011,0.85,5.1,15888,United Kingdom
537208,M,Manual,4,12/5/2010,0.85,3.4,15889,United Kingdom
559106,M,Manual,2,7/6/2011,7.95,15.9,15889,United Kingdom
551270,M,Manual,1,4/27/2011,2.55,2.55,15891,United Kingdom
549468,M,Manual,1,4/8/2011,1867.86,1867.86,17940,United Kingdom
537199,M,Manual,1,12/5/2010,0.65,0.65,15894,United Kingdom
577696,M,Manual,1,11/21/2011,0,0,16406,United Kingdom
539014,M,Manual,48,12/15/2010,0.32,15.36,17692,United Kingdom
577695,M,Manual,1,11/21/2011,0.42,0.42,15645,United Kingdom
568050,M,Manual,1,9/23/2011,1.5,1.5,15901,United Kingdom
568050,M,Manual,6,9/23/2011,0.08,0.48,15901,United Kingdom
567866,M,Manual,5,9/22/2011,0.8,4,16669,United Kingdom
567869,M,Manual,5,9/22/2011,0.08,0.4,16669,United Kingdom
565123,M,Manual,96,9/1/2011,5,480,17949,United Kingdom
555648,M,Manual,12,6/6/2011,0.39,4.68,14623,United Kingdom
550513,M,Manual,1,4/18/2011,7.95,7.95,16928,United Kingdom
